iter	Passed	Remaining
301	1875	1565
302	1881	1558
303	1886	1551
304	1890	1543
305	1896	1536
306	1901	1529
307	1907	1523
308	1919	1522
309	1925	1515
310	1961	1532
311	1967	1525
312	1975	1521
313	1984	1516
314	1990	1509
315	1995	1503
316	2001	1496
317	2006	1489
318	2011	1481
319	2017	1475
320	2023	1468
321	2028	1461
322	2034	1454
323	2039	1447
324	2047	1442
325	2053	1435
326	2059	1429
327	2065	1423
328	2071	1416
329	2077	1409
330	2082	1402
331	2087	1396
332	2093	1389
333	2098	1382
334	2104	1375
335	2110	1369
336	2115	1362
337	2120	1355
338	2130	1351
339	2135	1343
340	2139	1336
341	2144	1329
342	2150	1322
343	2155	1315
344	2161	1309
345	2166	1302
346	2180	1300
347	2186	1294
348	2191	1287
349	2196	1280
350	2200	1272
351	2205	1265
352	2210	1258
353	2215	1251
354	2221	1245
355	2226	1238
356	2230	1231
357	2235	1224
358	2241	1217
359	2246	1210
360	2251	1203
361	2256	1196
362	2262	1190
363	2267	1183
364	2271	1176
365	2276	1169
366	2281	1162
367	2287	1155
368	2339	1173
369	2356	1171
370	2367	1167
371	2371	1160
372	2376	1153
373	2381	1145
374	2385	1138
375	2390	1131
376	2395	1124
377	2460	1145
378	2465	1138
379	2479	1135
380	2483	1127
381	2497	1124
382	2501	1116
383	2504	1108
384	2507	1100
385	2523	1098
386	2528	1091
387	2532	1083
388	2535	1075
389	2540	1068
390	2547	1061
391	2550	1053
392	2562	1049
393	2567	1042
394	2571	1034
395	2575	1027
396	2580	1020
397	2584	1013
398	2589	1005
399	2593	998
400	2596	990
401	2600	983
402	2604	976
403	2609	969
404	2622	964
405	2639	962
406	2659	960
407	2677	958
408	2681	950
409	2684	942
410	2688	935
411	2692	927
412	2696	920
413	2700	913
414	2703	905
415	2708	898
416	2713	891
417	2717	884
418	2721	876
419	2725	869
420	2728	862
421	2733	854
422	2736	847
423	2740	840
424	2744	832
425	2748	825
426	2751	818
427	2755	811
428	2759	803
429	2763	796
430	2766	789
431	2770	782
432	2774	775
433	2777	768
434	2781	761
435	2786	754
436	2790	747
437	2795	740
438	2799	733
439	2804	726
440	2809	719
441	2813	712
442	2818	706
443	2822	699
444	2827	692
445	2831	685
446	2836	678
447	2840	672
448	2845	665
449	2849	658
450	2854	651
451	2858	645
452	2864	638
453	2870	632
454	2875	625
455	2880	618
456	2884	612
457	2891	606
458	2898	600
459	2904	593
460	2910	587
461	2916	580
462	2922	574
463	2928	568
464	2934	561
465	2940	555
466	2947	549
467	2953	542
468	2958	536
469	2964	529
470	2969	523
471	2975	516
472	2981	510
473	2987	504
474	2992	497
475	2997	491
476	3003	484
477	3009	478
478	3015	472
479	3021	465
480	3027	459
481	3033	453
482	3039	446
483	3045	440
484	3050	433
485	3055	427
486	3061	421
487	3066	414
488	3072	408
489	3078	402
490	3083	395
491	3089	389
492	3094	382
493	3100	376
494	3105	370
495	3111	363
496	3116	357
497	3122	351
498	3128	344
499	3134	338
500	3139	332
501	3145	325
502	3150	319
503	3155	313
504	3161	306
505	3167	300
506	3173	294
507	3179	287
508	3185	281
509	3191	275
510	3196	269
511	3201	262
512	3206	256
513	3212	249
514	3218	243
515	3224	237
516	3228	231
517	3233	224
518	3239	218
519	3245	212
520	3250	205
521	3255	199
522	3260	193
523	3266	186
524	3271	180
525	3276	174
526	3282	168
527	3288	161
528	3294	155
529	3299	149
530	3305	143
531	3310	136
532	3318	130
533	3322	124
534	3328	118
535	3334	111
536	3347	105
537	3352	99
538	3359	93
539	3365	87
540	3370	80
541	3374	74
542	3379	68
543	3384	62
544	3404	56
545	3584	52
546	3590	45
547	3603	39
548	3622	32
549	3626	26
550	3636	19
551	3641	13
552	3655	6
553	3659	0
