iter	MultiRMSE
307	11.31937253
308	11.31867293
309	11.3173946
310	11.31641753
311	11.31501342
312	11.31431359
313	11.31361845
314	11.31334367
315	11.31259302
316	11.31189489
317	11.31109987
318	11.30989131
319	11.30894803
320	11.30754314
321	11.30715988
322	11.30575547
323	11.30461302
324	11.30282708
325	11.30175445
326	11.30068666
327	11.29944499
328	11.29881416
329	11.29779942
330	11.29715261
331	11.29605583
332	11.29486117
333	11.29442871
334	11.29380025
335	11.29181887
336	11.29155845
337	11.29053009
338	11.28967153
339	11.28813781
340	11.28700851
341	11.28588427
342	11.28521574
343	11.28394463
344	11.28283451
345	11.28179325
346	11.28056386
347	11.27950272
348	11.27882996
349	11.27782323
350	11.27705932
351	11.27684358
352	11.2761639
353	11.27511477
354	11.27442911
355	11.27362089
356	11.27270461
357	11.27165022
358	11.27126906
359	11.26996571
360	11.26866713
361	11.26698999
362	11.2660989
363	11.26519785
364	11.26442852
365	11.26301288
366	11.26132642
367	11.26011228
368	11.25910214
369	11.25833812
370	11.25747937
371	11.2567665
372	11.25542301
373	11.25513908
374	11.25452542
375	11.25300421
376	11.25230511
377	11.25108752
378	11.2505903
379	11.24948662
380	11.24786164
381	11.24750574
382	11.24671918
383	11.24488505
384	11.24383794
385	11.24246005
386	11.2415087
387	11.24074095
388	11.23978811
389	11.23907609
390	11.23866361
391	11.2380609
392	11.23654618
393	11.23555483
394	11.23498418
395	11.23403108
396	11.23357088
397	11.2327219
398	11.23066865
399	11.22910093
400	11.22790194
401	11.22635685
402	11.22524021
403	11.2248107
404	11.22383599
405	11.2230743
406	11.22263577
407	11.22206115
408	11.22108939
409	11.21958904
410	11.21843354
411	11.21790629
412	11.21650909
413	11.21566455
414	11.21435201
415	11.21328771
416	11.21182564
417	11.21069293
418	11.20951058
419	11.20805191
420	11.20730381
421	11.2067878
422	11.20574475
423	11.20432987
424	11.20384764
425	11.20294647
426	11.20241024
427	11.20177666
428	11.20122286
429	11.20052166
430	11.19929096
431	11.19785419
432	11.19696998
433	11.19628734
434	11.19569588
435	11.1944345
436	11.19362251
437	11.19215129
438	11.19088372
439	11.19047943
440	11.18935229
441	11.18814132
442	11.18789908
443	11.18738482
444	11.18607505
445	11.18420655
446	11.18362459
447	11.18329984
448	11.18210409
449	11.18171456
450	11.18126544
451	11.18027751
452	11.17926648
453	11.17884472
454	11.17773402
455	11.17730562
456	11.1768165
457	11.17568418
458	11.17442046
459	11.17385185
460	11.17311802
461	11.17261307
462	11.17239687
463	11.17173099
464	11.17147339
465	11.17049294
466	11.16872952
467	11.16776472
468	11.16653442
469	11.16617626
470	11.16537631
471	11.16500548
472	11.16475296
473	11.1635897
474	11.16257426
475	11.16173511
476	11.1612183
477	11.16078532
478	11.16040263
479	11.15921738
480	11.15824798
481	11.15693775
482	11.15634273
483	11.15617252
484	11.15555126
485	11.15422714
486	11.15382143
487	11.15276465
488	11.15127082
489	11.15046185
490	11.15022918
491	11.14922034
492	11.14823736
493	11.14760552
494	11.14633952
495	11.14580864
496	11.14447304
497	11.14331592
498	11.1423167
499	11.14176969
500	11.14136024
501	11.14048745
502	11.14010292
503	11.13856966
504	11.13821417
505	11.13769517
506	11.13682816
507	11.13618908
508	11.13531643
509	11.13500258
510	11.13462346
511	11.13389426
512	11.13371921
513	11.13269295
514	11.13209897
515	11.13197192
516	11.13086248
517	11.13008474
518	11.12970674
519	11.12930098
520	11.12819352
521	11.12718583
522	11.12616554
523	11.12585571
524	11.12510389
525	11.12493976
526	11.12383888
527	11.12290587
528	11.12224564
529	11.12118035
530	11.12093932
531	11.12001305
532	11.11960015
533	11.11891472
534	11.11799133
535	11.11755491
536	11.11741519
537	11.11695309
538	11.11598059
539	11.115148
540	11.11417667
541	11.11383546
542	11.11272992
543	11.11199205
544	11.11185291
545	11.11110556
546	11.1108269
547	11.11065674
548	11.10962696
549	11.10892496
550	11.10863846
551	11.1077326
552	11.10682023
553	11.10635489
554	11.10536131
555	11.10452275
556	11.1039432
557	11.10328957
558	11.10240604
559	11.10180182
560	11.10149656
561	11.1003169
562	11.09962797
563	11.09876755
564	11.09789187
565	11.09731303
566	11.09657472
567	11.09540427
568	11.0948105
569	11.0945276
570	11.09368388
571	11.09297248
572	11.09222384
573	11.09152566
574	11.09093085
575	11.09018745
576	11.08949062
577	11.08923088
578	11.0886862
579	11.08791221
580	11.08764576
581	11.08751869
582	11.08716657
583	11.08675495
584	11.08610362
585	11.08544631
586	11.0847886
587	11.08445442
588	11.0843577
589	11.08408741
590	11.08337586
591	11.0829714
592	11.08227765
593	11.08192782
594	11.08152553
595	11.0814174
596	11.08099347
597	11.08017915
598	11.07904125
599	11.07818475
600	11.07755768
601	11.07684553
602	11.07653548
603	11.07546287
604	11.07467489
605	11.0745584
606	11.07420685
607	11.07392355
608	11.07314524
609	11.07260406
610	11.07186784
611	11.07111423
612	11.0706872
613	11.06985253
614	11.0691046
615	11.06870269
616	11.06803388
617	11.06698237
618	11.06627815
619	11.06561962
620	11.0655351
621	11.06518567
622	11.06442714
623	11.06374188
624	11.06344603
625	11.06321039
626	11.06241681
627	11.06197215
628	11.06097318
629	11.06015833
630	11.06005395
631	11.05929332
632	11.05870077
633	11.05833503
634	11.05812474
635	11.0580219
636	11.05739747
637	11.05701752
638	11.05638003
639	11.05621965
640	11.05563681
641	11.05554438
642	11.0544743
643	11.05400208
644	11.05320771
645	11.053078
646	11.05215786
647	11.05186733
648	11.05106695
649	11.05029149
650	11.04962325
651	11.04947551
652	11.04903867
653	11.04804851
654	11.04774399
655	11.04767134
656	11.04728204
657	11.04674884
658	11.04643524
659	11.04617882
660	11.04578327
661	11.0453064
662	11.04506263
663	11.04462929
664	11.04436043
665	11.04405309
666	11.04341956
667	11.04332634
668	11.04265529
669	11.04240804
670	11.04166065
671	11.04116907
672	11.04020982
673	11.03991085
674	11.03979573
675	11.03940135
676	11.03882608
677	11.0382428
678	11.03793007
679	11.03784214
680	11.0373043
681	11.03678914
682	11.03616671
683	11.03583901
684	11.03532374
685	11.03478733
686	11.03415664
687	11.03362812
688	11.03329008
689	11.03247096
690	11.03207513
691	11.03199368
692	11.03192739
693	11.0313727
694	11.03093566
695	11.03073868
696	11.03040811
697	11.03005415
698	11.02900667
699	11.0282555
700	11.02788159
701	11.02780659
702	11.02719391
703	11.02708974
704	11.02679601
705	11.02637282
706	11.02592576
707	11.02561904
708	11.02536037
709	11.02490728
710	11.0245013
711	11.02379829
712	11.02357604
713	11.02284473
714	11.02230683
715	11.02184494
716	11.02158855
717	11.02151769
718	11.02144409
719	11.02110327
720	11.02063715
721	11.02027854
722	11.01999911
723	11.01989354
724	11.01969943
725	11.01925688
726	11.01872174
727	11.01810834
728	11.01801751
729	11.01762867
730	11.01716716
731	11.01695639
732	11.01688775
733	11.01647813
734	11.01600593
735	11.01585285
736	11.01499375
737	11.01466478
738	11.0144682
739	11.01404575
740	11.01375516
741	11.01329165
742	11.0131919
743	11.01243642
744	11.01202357
745	11.01158163
746	11.01127999
747	11.01082939
748	11.01038149
749	11.00983891
750	11.00933486
751	11.00849598
752	11.0078954
753	11.00732707
754	11.00708474
755	11.00649374
756	11.00618846
757	11.00588195
758	11.00567321
759	11.0054747
760	11.00525643
761	11.00515328
762	11.00498896
763	11.00492207
764	11.00439214
765	11.00430529
766	11.00403021
767	11.00353092
768	11.00344776
769	11.00321665
770	11.00287908
771	11.00247082
772	11.0023004
773	11.00207288
774	11.00201294
775	11.00159974
776	11.00141799
777	11.00099022
778	11.00091732
779	11.00049218
780	11.00037805
781	11.00030386
782	10.99999732
783	10.99953696
784	10.99949765
785	10.99900173
786	10.99893953
787	10.99862656
788	10.99848153
789	10.99840859
790	10.99821346
791	10.99803671
792	10.99762738
793	10.99742788
794	10.99670014
795	10.99619165
796	10.99612239
797	10.99586854
798	10.99514702
799	10.99471111
800	10.99415357
801	10.99411213
802	10.99385395
803	10.99382465
804	10.99306226
805	10.99267944
806	10.99204205
807	10.99194532
808	10.99172387
809	10.99169207
810	10.99128842
811	10.99060513
812	10.99032562
813	10.99020359
814	10.99006357
815	10.9899834
816	10.98963029
817	10.98951932
818	10.989021
819	10.98848189
820	10.9881607
821	10.98759304
822	10.98756185
823	10.98734803
824	10.98716145
825	10.98679551
826	10.98648182
827	10.98624868
828	10.98531141
829	10.98509435
830	10.98441325
831	10.98431494
832	10.98409878
833	10.98383759
834	10.98372451
835	10.98306677
836	10.98253261
837	10.98200255
838	10.98154187
839	10.98087167
840	10.98065846
841	10.98043969
842	10.98034789
843	10.9800449
844	10.97989287
845	10.97978223
846	10.97941218
847	10.97868486
848	10.9785542
849	10.97792561
850	10.977611
851	10.97705985
852	10.97675929
853	10.97665045
854	10.97658573
855	10.97629691
856	10.9762409
857	10.97543787
858	10.97502603
859	10.97489492
860	10.9747619
861	10.97440503
862	10.97357685
863	10.97328906
864	10.97282221
865	10.97268259
866	10.9720882
867	10.97154966
868	10.971475
869	10.97124732
870	10.97114011
871	10.97080612
872	10.97057354
873	10.97021125
874	10.96976165
875	10.96907042
876	10.96865741
877	10.96839491
878	10.96830537
879	10.96791625
880	10.9673465
881	10.96692247
882	10.96685775
883	10.96649149
884	10.96629374
885	10.9655682
886	10.96554177
887	10.96516777
888	10.96487523
889	10.9642959
890	10.96390186
891	10.96382793
892	10.96359849
893	10.96314705
894	10.96266058
895	10.96227329
896	10.96187384
897	10.96183977
898	10.96143568
899	10.96140629
900	10.96121456
901	10.96076118
902	10.96045379
903	10.96021868
904	10.95960048
905	10.95921028
906	10.95909281
907	10.95873119
908	10.95865992
909	10.95822057
910	10.95763832
911	10.95726442
912	10.95716571
913	10.95657089
914	10.95618506
915	10.95608545
916	10.95597116
917	10.95566563
918	10.95516118
919	10.95477014
920	10.95443646
921	10.95399992
922	10.95371979
923	10.95342273
924	10.95323766
925	10.9531437
926	10.95282103
927	10.95240504
928	10.95212017
929	10.95197291
930	10.95169686
931	10.95135983
932	10.95115368
933	10.95085265
934	10.95071747
935	10.95056628
936	10.95019304
937	10.94996903
938	10.94990393
939	10.94973136
940	10.94928022
941	10.9490316
942	10.94885457
943	10.94853337
944	10.94816553
945	10.94774486
946	10.9476618
947	10.94729794
948	10.94725646
949	10.94719761
950	10.94711037
951	10.94660566
952	10.94633109
953	10.94592962
954	10.94584588
955	10.94555123
956	10.94552418
957	10.94523768
958	10.945044
959	10.94458458
960	10.94438202
961	10.94430186
962	10.944093
963	10.94407007
964	10.9437996
965	10.94360784
966	10.94312695
967	10.94303757
968	10.94293507
969	10.9427816
970	10.94200986
971	10.94143841
972	10.9412537
973	10.94096265
974	10.9407544
975	10.94053536
976	10.94004999
977	10.939824
978	10.93923285
979	10.93912714
980	10.9388418
981	10.93863629
982	10.93853697
983	10.93850471
984	10.93819876
985	10.93813984
986	10.93762342
987	10.9371135
988	10.9368916
989	10.93673608
990	10.93632391
991	10.93622562
992	10.93586811
993	10.93552637
994	10.93482434
995	10.93449075
996	10.93412064
997	10.93380135
998	10.93360061
999	10.93350444
