,set,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2
65,type1_1,1,0.0,0.0,10,0.013333333333333334,mae,0.51,0.92,0.76,0.09,0.17,0.09,0.0
66,type1_1,1,0.0,0.0,10,0.02,mae,0.91,1.0,0.92,0.09,0.17,0.09,0.0
67,type1_1,1,0.0,0.0,10,0.02666666666666667,mae,1.0,1.0,0.92,0.09,0.17,0.09,0.0
68,type1_1,1,0.0,0.0,10,0.03333333333333333,mae,1.0,1.0,0.92,0.08,0.17,0.09,0.0
69,type1_1,1,0.0,0.0,10,0.04,mae,1.0,1.0,0.92,0.08,0.09,0.08,0.0
70,type1_2,1,0.0,0.0,10,0.0,mae,,,,0.0,0.0,0.01,0.24
71,type1_2,1,0.0,1.0,10,0.0,mae,,,,0.09,0.0,0.09,0.24
72,type1_2,1,0.0,2.0,10,0.0,mae,,,,0.25,0.0,0.08,0.24
73,type1_2,1,0.0,3.0,10,0.0,mae,,,,0.25,0.0,0.16,0.24
74,type1_2,1,0.0,4.0,10,0.0,mae,,,,0.25,0.0,0.16,0.24
75,type1_2,1,0.0,5.0,10,0.0,mae,,,,0.25,0.0,0.16,0.24
76,type1_2,1,0.0,6.0,10,0.0,mae,,,,0.25,0.0,0.16,0.24
77,power,1,0.0,0.0,10,0.0,mae,,,,,0.0,0.0,0.0
78,power,1,0.08333333333333333,0.0,10,0.0,mae,,,,,0.25,0.25,0.17
79,power,1,0.16666666666666666,0.0,10,0.0,mae,,,,,0.73,0.41,0.65
80,power,1,0.25,0.0,10,0.0,mae,,,,,0.9,0.57,0.99
81,power,1,0.3333333333333333,0.0,10,0.0,mae,,,,,1.0,0.81,1.0
82,power,1,0.41666666666666663,0.0,10,0.0,mae,,,,,1.0,0.9,1.0
83,power,1,0.5,0.0,10,0.0,mae,,,,,1.0,1.0,1.0
84,type1_1,2,0.0,0.0,10,0.0,mse,0.0,0.01,0.0,0.08,0.08,0.08,0.0
85,type1_1,2,0.0,0.0,10,0.006666666666666667,mse,0.16,0.33,0.17,0.09,0.08,0.08,0.0
86,type1_1,2,0.0,0.0,10,0.013333333333333334,mse,0.26,1.0,0.84,0.09,0.08,0.08,0.0
87,type1_1,2,0.0,0.0,10,0.02,mse,0.84,1.0,1.0,0.09,0.08,0.08,0.0
88,type1_1,2,0.0,0.0,10,0.02666666666666667,mse,1.0,1.0,1.0,0.08,0.08,0.08,0.0
89,type1_1,2,0.0,0.0,10,0.03333333333333333,mse,1.0,1.0,1.0,0.08,0.08,0.08,0.0
90,type1_1,2,0.0,0.0,10,0.04,mse,1.0,1.0,1.0,0.08,0.08,0.08,0.0
91,type1_2,2,0.0,0.0,10,0.0,mse,,,,0.08,0.01,0.08,0.01
92,type1_2,2,0.0,1.0,10,0.0,mse,,,,0.18,0.01,0.16,0.01
93,type1_2,2,0.0,2.0,10,0.0,mse,,,,0.34,0.01,0.16,0.01
94,type1_2,2,0.0,3.0,10,0.0,mse,,,,0.35,0.01,0.08,0.01
95,type1_2,2,0.0,4.0,10,0.0,mse,,,,0.36,0.01,0.08,0.01
96,type1_2,2,0.0,5.0,10,0.0,mse,,,,0.36,0.01,0.08,0.01
97,type1_2,2,0.0,6.0,10,0.0,mse,,,,0.36,0.01,0.08,0.01
98,power,2,0.0,0.0,10,0.0,mse,,,,,0.08,0.0,0.0
99,power,2,0.08333333333333333,0.0,10,0.0,mse,,,,,0.33,0.33,0.24
100,power,2,0.16666666666666666,0.0,10,0.0,mse,,,,,0.66,0.49,0.74
101,power,2,0.25,0.0,10,0.0,mse,,,,,0.99,0.81,1.0
102,power,2,0.3333333333333333,0.0,10,0.0,mse,,,,,1.0,0.9,1.0
103,power,2,0.41666666666666663,0.0,10,0.0,mse,,,,,1.0,0.92,1.0
104,power,2,0.5,0.0,10,0.0,mse,,,,,1.0,1.0,1.0
105,type1_1,2,0.0,0.0,10,0.0,mae,0.0,0.01,0.0,0.08,0.08,0.08,0.08
106,type1_1,2,0.0,0.0,10,0.006666666666666667,mae,0.16,0.33,0.17,0.09,0.08,0.09,0.0
107,type1_1,2,0.0,0.0,10,0.013333333333333334,mae,0.24,1.0,0.84,0.09,0.08,0.09,0.0
108,type1_1,2,0.0,0.0,10,0.02,mae,0.44,1.0,1.0,0.09,0.08,0.08,0.0
109,type1_1,2,0.0,0.0,10,0.02666666666666667,mae,0.92,1.0,1.0,0.08,0.08,0.08,0.0
110,type1_1,2,0.0,0.0,10,0.03333333333333333,mae,1.0,1.0,1.0,0.08,0.08,0.08,0.0
111,type1_1,2,0.0,0.0,10,0.04,mae,1.0,1.0,1.0,0.08,0.08,0.08,0.0
112,type1_2,2,0.0,0.0,10,0.0,mae,,,,0.08,0.01,0.09,0.0
113,type1_2,2,0.0,1.0,10,0.0,mae,,,,0.18,0.01,0.17,0.0
114,type1_2,2,0.0,2.0,10,0.0,mae,,,,0.34,0.01,0.17,0.0
115,type1_2,2,0.0,3.0,10,0.0,mae,,,,0.35,0.01,0.17,0.0
116,type1_2,2,0.0,4.0,10,0.0,mae,,,,0.36,0.01,0.17,0.0
117,type1_2,2,0.0,5.0,10,0.0,mae,,,,0.36,0.01,0.17,0.0
118,type1_2,2,0.0,6.0,10,0.0,mae,,,,0.36,0.01,0.17,0.0
119,power,2,0.0,0.0,10,0.0,mae,,,,,0.08,0.0,0.0
120,power,2,0.08333333333333333,0.0,10,0.0,mae,,,,,0.33,0.17,0.17
121,power,2,0.16666666666666666,0.0,10,0.0,mae,,,,,0.66,0.41,0.65
122,power,2,0.25,0.0,10,0.0,mae,,,,,0.99,0.65,0.99
123,power,2,0.3333333333333333,0.0,10,0.0,mae,,,,,1.0,0.82,1.0
124,power,2,0.41666666666666663,0.0,10,0.0,mae,,,,,1.0,0.9,1.0
125,power,2,0.5,0.0,10,0.0,mae,,,,,1.0,1.0,1.0
126,type1_1,3,0.0,0.0,10,0.0,mse,0.01,0.08,0.08,0.16,0.16,0.08,0.0
127,type1_1,3,0.0,0.0,10,0.006666666666666667,mse,0.67,0.91,0.83,0.08,0.08,0.09,0.0
128,type1_1,3,0.0,0.0,10,0.013333333333333334,mse,0.91,1.0,1.0,0.08,0.08,0.08,0.08
129,type1_1,3,0.0,0.0,10,0.02,mse,0.92,1.0,1.0,0.09,0.08,0.08,0.08
130,type1_1,3,0.0,0.0,10,0.02666666666666667,mse,1.0,1.0,1.0,0.08,0.08,0.08,0.08
131,type1_1,3,0.0,0.0,10,0.03333333333333333,mse,1.0,1.0,1.0,0.08,0.08,0.08,0.08
132,type1_1,3,0.0,0.0,10,0.04,mse,1.0,1.0,1.0,0.08,0.08,0.08,0.08
133,type1_2,3,0.0,0.0,10,0.0,mse,,,,0.16,0.0,0.08,0.08
134,type1_2,3,0.0,1.0,10,0.0,mse,,,,0.41,0.0,0.16,0.08
135,type1_2,3,0.0,2.0,10,0.0,mse,,,,0.73,0.0,0.24,0.08
136,type1_2,3,0.0,3.0,10,0.0,mse,,,,0.73,0.0,0.24,0.08
137,type1_2,3,0.0,4.0,10,0.0,mse,,,,0.73,0.0,0.24,0.08
138,type1_2,3,0.0,5.0,10,0.0,mse,,,,0.73,0.0,0.24,0.08
139,type1_2,3,0.0,6.0,10,0.0,mse,,,,0.73,0.0,0.24,0.08
140,power,3,0.0,0.0,10,0.0,mse,,,,,0.1,0.09,0.0
141,power,3,0.08333333333333333,0.0,10,0.0,mse,,,,,0.33,0.33,0.24
142,power,3,0.16666666666666666,0.0,10,0.0,mse,,,,,0.81,0.49,0.74
143,power,3,0.25,0.0,10,0.0,mse,,,,,0.9,0.81,0.99
144,power,3,0.3333333333333333,0.0,10,0.0,mse,,,,,0.99,0.9,1.0
145,power,3,0.41666666666666663,0.0,10,0.0,mse,,,,,1.0,0.92,1.0
146,power,3,0.5,0.0,10,0.0,mse,,,,,1.0,1.0,1.0
147,type1_1,3,0.0,0.0,10,0.0,mae,0.0,0.08,0.08,0.16,0.16,0.16,0.0
148,type1_1,3,0.0,0.0,10,0.006666666666666667,mae,0.41,0.91,0.83,0.08,0.08,0.09,0.08
149,type1_1,3,0.0,0.0,10,0.013333333333333334,mae,0.92,1.0,1.0,0.08,0.08,0.09,0.08
150,type1_1,3,0.0,0.0,10,0.02,mae,0.92,1.0,1.0,0.09,0.08,0.09,0.08
151,type1_1,3,0.0,0.0,10,0.02666666666666667,mae,1.0,1.0,1.0,0.08,0.08,0.09,0.08
152,type1_1,3,0.0,0.0,10,0.03333333333333333,mae,1.0,1.0,1.0,0.08,0.08,0.09,0.08
153,type1_1,3,0.0,0.0,10,0.04,mae,1.0,1.0,1.0,0.08,0.08,0.08,0.08
154,type1_2,3,0.0,0.0,10,0.0,mae,,,,0.16,0.0,0.08,0.08
155,type1_2,3,0.0,1.0,10,0.0,mae,,,,0.41,0.0,0.4,0.08
156,type1_2,3,0.0,2.0,10,0.0,mae,,,,0.73,0.0,0.41,0.08
157,type1_2,3,0.0,3.0,10,0.0,mae,,,,0.73,0.0,0.57,0.08
158,type1_2,3,0.0,4.0,10,0.0,mae,,,,0.73,0.0,0.65,0.08
159,type1_2,3,0.0,5.0,10,0.0,mae,,,,0.73,0.0,0.65,0.08
160,type1_2,3,0.0,6.0,10,0.0,mae,,,,0.73,0.0,0.65,0.08
161,power,3,0.0,0.0,10,0.0,mae,,,,,0.1,0.09,0.0
162,power,3,0.08333333333333333,0.0,10,0.0,mae,,,,,0.33,0.09,0.09
163,power,3,0.16666666666666666,0.0,10,0.0,mae,,,,,0.81,0.41,0.57
