,set,p,ba,c,theta,skew,u,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2,stfr_time,resit_time,gcm_time,crt_time,cpt_time,rbpt_time,rbpt2_time
54,type1_sim,20,0,0.0,4,3,0,0.02,mse,,,,0.9583333333333334,0.0958333333333333,0.38125,,,,,0.0200078566869099,0.7093892072637876,0.0004779795805613,
55,type1_reg,20,0,0.0,0,3,0,0.0,mse,0.0666666666666666,0.1041666666666666,0.0958333333333333,,,0.1020833333333333,0.0979166666666666,0.0005709548791249,0.1242884327967961,0.0005654588341712,,,0.0005659411350886,0.8158404722809791
56,type1_reg,20,0,0.0,0,3,0,0.005,mse,0.5395833333333333,0.7854166666666667,0.8458333333333333,,,0.1145833333333333,0.125,0.000538708269596,0.1094024101893107,0.0005225539207458,,,0.0004889478286107,0.7851265698671341
57,type1_reg,20,0,0.0,0,3,0,0.01,mse,0.91875,0.9958333333333332,0.9979166666666668,,,0.1104166666666666,0.11875,0.0006119305888811,0.1228290965159734,0.0005781749884287,,,0.0005839844544728,0.8154226591189703
58,type1_reg,20,0,0.0,0,3,0,0.015,mse,0.9958333333333332,1.0,0.9979166666666668,,,0.09375,0.1145833333333333,0.000591737528642,0.1241950124502182,0.0005934948722521,,,0.0005507692694664,0.8149285455544789
59,type1_reg,20,0,0.0,0,3,0,0.02,mse,1.0,1.0,0.9979166666666668,,,0.0770833333333333,0.1125,0.0005793179074923,0.1230652560790379,0.0005731691916783,,,0.0005677988131841,0.8040063644448916
60,type1_sim,30,0,0.0,0,0,0,0.0,mse,,,,0.125,0.1083333333333333,0.1145833333333333,,,,,0.0168472245335578,0.6013470316926638,0.0004392176866531,
61,type1_sim,30,0,0.0,0,0,0,0.005,mse,,,,0.0979166666666666,0.1020833333333333,0.1020833333333333,,,,,0.0161924873789151,0.5911170388261477,0.0004419450958569,
62,type1_sim,30,0,0.0,0,0,0,0.01,mse,,,,0.10625,0.1020833333333333,0.09375,,,,,0.0172083472212155,0.5907837122678756,0.0004175012310345,
63,type1_sim,30,0,0.0,0,0,0,0.015,mse,,,,0.1125,0.1083333333333333,0.0875,,,,,0.0161074479420979,0.5943612977862358,0.0004315654436747,
64,type1_sim,30,0,0.0,0,0,0,0.02,mse,,,,0.0916666666666666,0.1125,0.075,,,,,0.0164705733458201,0.5923231333494187,0.0004257798194885,
65,type1_sim,30,0,0.0,1,0,0,0.0,mse,,,,0.2208333333333333,0.1145833333333333,0.1125,,,,,0.0161676049232482,0.5989907001455624,0.0004396582643191,
66,type1_sim,30,0,0.0,1,0,0,0.005,mse,,,,0.2083333333333333,0.10625,0.1083333333333333,,,,,0.0158912683526674,0.5903321226437886,0.0004403392473856,
67,type1_sim,30,0,0.0,1,0,0,0.01,mse,,,,0.20625,0.125,0.10625,,,,,0.0173720702528953,0.6180240869522095,0.000479278465112,
68,type1_sim,30,0,0.0,1,0,0,0.015,mse,,,,0.2166666666666666,0.1104166666666666,0.10625,,,,,0.0187007700403531,0.6077740753690402,0.0004355544845263,
69,type1_sim,30,0,0.0,1,0,0,0.02,mse,,,,0.2291666666666666,0.1083333333333333,0.10625,,,,,0.0198655769228935,0.6586555684606235,0.0004640877246856,
70,type1_sim,30,0,0.0,2,0,0,0.0,mse,,,,0.3458333333333333,0.1145833333333333,0.13125,,,,,0.0180192669232686,0.6287438119451205,0.0004731769363085,
71,type1_sim,30,0,0.0,2,0,0,0.005,mse,,,,0.3354166666666666,0.0979166666666666,0.125,,,,,0.0163928980628649,0.6013974313934644,0.0004348481694857,
72,type1_sim,30,0,0.0,2,0,0,0.01,mse,,,,0.3541666666666667,0.1104166666666666,0.13125,,,,,0.0162201638023058,0.5865604465206464,0.0004494205117225,
73,type1_sim,30,0,0.0,2,0,0,0.015,mse,,,,0.3583333333333333,0.10625,0.1416666666666666,,,,,0.0167754491170247,0.5990355799595515,0.0004242420196533,
74,type1_sim,30,0,0.0,2,0,0,0.02,mse,,,,0.3791666666666666,0.1041666666666666,0.1479166666666666,,,,,0.0158788621425628,0.596403447786967,0.0004415849844614,
75,type1_sim,30,0,0.0,3,0,0,0.0,mse,,,,0.3958333333333333,0.11875,0.1354166666666666,,,,,0.0167384112874666,0.6009497364362081,0.0004681100447972,
76,type1_sim,30,0,0.0,3,0,0,0.005,mse,,,,0.4020833333333333,0.1041666666666666,0.1395833333333333,,,,,0.0160895109176635,0.5865069846312205,0.0004542728265126,
77,type1_sim,30,0,0.0,3,0,0,0.01,mse,,,,0.425,0.10625,0.15625,,,,,0.0198812613884607,0.6373517254988352,0.0004529555638631,
78,type1_sim,30,0,0.0,3,0,0,0.015,mse,,,,0.4520833333333333,0.1104166666666666,0.1770833333333333,,,,,0.0177401522795359,0.6366407250364622,0.0004544044534365,
79,type1_sim,30,0,0.0,3,0,0,0.02,mse,,,,0.475,0.1020833333333333,0.1916666666666666,,,,,0.0183351988593737,0.6289870585004489,0.000434590379397,
80,type1_sim,30,0,0.0,4,0,0,0.0,mse,,,,0.4270833333333333,0.1145833333333333,0.1458333333333333,,,,,0.0187853122750918,0.6254956871271133,0.0004678154985109,
81,type1_sim,30,0,0.0,4,0,0,0.005,mse,,,,0.4375,0.11875,0.1541666666666666,,,,,0.0176628023386001,0.6173878704508146,0.0004403496781984,
82,type1_sim,30,0,0.0,4,0,0,0.01,mse,,,,0.4875,0.1083333333333333,0.18125,,,,,0.0179991528391838,0.628383552034696,0.0004633938272794,
83,type1_sim,30,0,0.0,4,0,0,0.015,mse,,,,0.5145833333333333,0.1125,0.2,,,,,0.0181174725294113,0.6125457018613816,0.0004573330283164,
84,type1_sim,30,0,0.0,4,0,0,0.02,mse,,,,0.55625,0.1020833333333333,0.2354166666666666,,,,,0.0183060457309087,0.6221918513377508,0.0004549950361251,
85,type1_reg,30,0,0.0,0,0,0,0.0,mse,0.0895833333333333,0.1104166666666666,0.0916666666666666,,,0.1145833333333333,0.0916666666666666,0.0008895908792813,0.1161928102374076,0.0005607212583223,,,0.0005692029992739,0.833760700126489
86,type1_reg,30,0,0.0,0,0,0,0.005,mse,0.3854166666666667,0.5833333333333334,0.5833333333333334,,,0.1020833333333333,0.125,0.0008029008905092,0.1128025819857915,0.0005457674463589,,,0.0005171443025271,0.8279416397213936
87,type1_reg,30,0,0.0,0,0,0,0.01,mse,0.7083333333333334,0.9479166666666666,0.9666666666666668,,,0.09375,0.1270833333333333,0.000696150958538,0.0996150732040405,0.0004851962129275,,,0.0004798586169878,0.8063233365615209
88,type1_reg,30,0,0.0,0,0,0,0.015,mse,0.9229166666666668,1.0,1.0,,,0.0875,0.13125,0.0007650310794512,0.1088430002331733,0.0005103712280591,,,0.0005046288172403,0.8148595149318377
89,type1_reg,30,0,0.0,0,0,0,0.02,mse,0.9916666666666668,1.0,1.0,,,0.075,0.1354166666666666,0.0008737618724505,0.1198334534962972,0.0005673810839653,,,0.0005725746353467,0.8281404430667559
90,power,30,0,0.0,0,0,0,0.0,mse,0.0895833333333333,0.1104166666666666,0.0916666666666666,0.1208333333333333,0.125,0.1145833333333333,0.0916666666666666,0.0006806552410125,0.1026645362377166,0.0004776189724604,0.0178965891400973,0.621058031419913,0.0005065197745958,0.7958700850605964
91,power,30,0,0.1,0,0,0,0.0,mse,1.0,1.0,1.0,0.4354166666666667,0.4,0.275,0.4541666666666666,0.0006882508595784,0.100261936088403,0.0004729742805163,0.0182127594947814,0.6091141124566396,0.0004712646206219,0.7267343873778979
