,set,p,ba,c,theta,skew,u,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2,stfr_time,resit_time,gcm_time,crt_time,cpt_time,rbpt_time,rbpt2_time
49,type1_1,40,1,0,0,0,1000,0.02,mse,,,,,,,0.10416666666666667,,,,,,,2.376652211944262
50,type1_1,40,2,0,0,0,0,0.0,mse,,,,,,,0.16458333333333333,,,,,,,0.5320140028993289
51,type1_1,40,2,0,0,0,0,0.005,mse,,,,,,,0.23541666666666666,,,,,,,0.5459457501769066
52,type1_1,40,2,0,0,0,0,0.01,mse,,,,,,,0.3625,,,,,,,0.5441999331116676
53,type1_1,40,2,0,0,0,0,0.015,mse,,,,,,,0.5,,,,,,,0.5469743718703588
54,type1_1,40,2,0,0,0,0,0.02,mse,,,,,,,0.6583333333333333,,,,,,,0.540921242038409
55,type1_1,40,2,0,0,0,50,0.0,mse,,,,,,,0.11458333333333333,,,,,,,0.6137469301621119
56,type1_1,40,2,0,0,0,50,0.005,mse,,,,,,,0.20833333333333334,,,,,,,0.6204268182317416
57,type1_1,40,2,0,0,0,50,0.01,mse,,,,,,,0.3145833333333333,,,,,,,0.6059115678071976
58,type1_1,40,2,0,0,0,50,0.015,mse,,,,,,,0.4395833333333333,,,,,,,0.6086687525113423
59,type1_1,40,2,0,0,0,50,0.02,mse,,,,,,,0.5875,,,,,,,0.6107695500055949
60,type1_1,40,2,0,0,0,100,0.0,mse,,,,,,,0.11875,,,,,,,0.6571327105164528
61,type1_1,40,2,0,0,0,100,0.005,mse,,,,,,,0.16458333333333333,,,,,,,0.681067347029845
62,type1_1,40,2,0,0,0,100,0.01,mse,,,,,,,0.2,,,,,,,0.6743910963336627
63,type1_1,40,2,0,0,0,100,0.015,mse,,,,,,,0.23541666666666666,,,,,,,0.6520177801450093
64,type1_1,40,2,0,0,0,100,0.02,mse,,,,,,,0.30416666666666664,,,,,,,0.6402960826953252
65,type1_1,40,2,0,0,0,500,0.0,mse,,,,,,,0.13541666666666666,,,,,,,1.1490993330876031
66,type1_1,40,2,0,0,0,500,0.005,mse,,,,,,,0.13333333333333333,,,,,,,1.1515107264121374
67,type1_1,40,2,0,0,0,500,0.01,mse,,,,,,,0.13333333333333333,,,,,,,1.1122430632511775
68,type1_1,40,2,0,0,0,500,0.015,mse,,,,,,,0.13958333333333334,,,,,,,1.1089847758412361
69,type1_1,40,2,0,0,0,500,0.02,mse,,,,,,,0.14375,,,,,,,1.1184930856029192
70,type1_1,40,2,0,0,0,1000,0.0,mse,,,,,,,0.11041666666666666,,,,,,,2.023262392481168
71,type1_1,40,2,0,0,0,1000,0.005,mse,,,,,,,0.10833333333333334,,,,,,,2.0386985793709753
72,type1_1,40,2,0,0,0,1000,0.01,mse,,,,,,,0.10833333333333334,,,,,,,2.034858313202858
73,type1_1,40,2,0,0,0,1000,0.015,mse,,,,,,,0.10833333333333334,,,,,,,2.041894468665123
74,type1_1,40,2,0,0,0,1000,0.02,mse,,,,,,,0.10833333333333334,,,,,,,2.0288518577814103
75,type1_1,40,3,0,0,0,0,0.0,mse,,,,,,,0.13333333333333333,,,,,,,0.5018655329942703
76,type1_1,40,3,0,0,0,0,0.005,mse,,,,,,,0.30416666666666664,,,,,,,0.4887260178724925
77,type1_1,40,3,0,0,0,0,0.01,mse,,,,,,,0.5125,,,,,,,0.49406365503867467
78,type1_1,40,3,0,0,0,0,0.015,mse,,,,,,,0.75,,,,,,,0.48728087246418
79,type1_1,40,3,0,0,0,0,0.02,mse,,,,,,,0.9229166666666667,,,,,,,0.493318983912468
80,type1_1,40,3,0,0,0,50,0.0,mse,,,,,,,0.1,,,,,,,0.563402030368646
81,type1_1,40,3,0,0,0,50,0.005,mse,,,,,,,0.20416666666666666,,,,,,,0.5539761727054914
82,type1_1,40,3,0,0,0,50,0.01,mse,,,,,,,0.35,,,,,,,0.5636605645219485
83,type1_1,40,3,0,0,0,50,0.015,mse,,,,,,,0.5416666666666666,,,,,,,0.5544127841790517
84,type1_1,40,3,0,0,0,50,0.02,mse,,,,,,,0.7145833333333333,,,,,,,0.5647474338610967
85,type1_1,40,3,0,0,0,100,0.0,mse,,,,,,,0.1125,,,,,,,0.6144327869017919
86,type1_1,40,3,0,0,0,100,0.005,mse,,,,,,,0.15625,,,,,,,0.6269598290324211
87,type1_1,40,3,0,0,0,100,0.01,mse,,,,,,,0.2125,,,,,,,0.6307814165949821
88,type1_1,40,3,0,0,0,100,0.015,mse,,,,,,,0.29375,,,,,,,0.6494944756229718
89,type1_1,40,3,0,0,0,100,0.02,mse,,,,,,,0.38125,,,,,,,0.666488320628802
90,type1_1,40,3,0,0,0,500,0.0,mse,,,,,,,0.12083333333333333,,,,,,,1.2100580170750619
91,type1_1,40,3,0,0,0,500,0.005,mse,,,,,,,0.13125,,,,,,,1.1240256244937579
92,type1_1,40,3,0,0,0,500,0.01,mse,,,,,,,0.1375,,,,,,,1.1622536649306616
93,type1_1,40,3,0,0,0,500,0.015,mse,,,,,,,0.15416666666666667,,,,,,,1.1736740529537202
94,type1_1,40,3,0,0,0,500,0.02,mse,,,,,,,0.15625,,,,,,,1.1508039365212122
95,type1_1,40,3,0,0,0,1000,0.0,mse,,,,,,,0.11041666666666666,,,,,,,2.0429269005854924
96,type1_1,40,3,0,0,0,1000,0.005,mse,,,,,,,0.10625,,,,,,,2.2780356188615163
97,type1_1,40,3,0,0,0,1000,0.01,mse,,,,,,,0.10833333333333334,,,,,,,2.1893416926264764
98,type1_1,40,3,0,0,0,1000,0.015,mse,,,,,,,0.10833333333333334,,,,,,,2.112913978099823
99,type1_1,40,3,0,0,0,1000,0.02,mse,,,,,,,0.10833333333333334,,,,,,,2.1213088209430375
100,type1_1,40,4,0,0,0,0,0.0,mse,,,,,,,0.14791666666666667,,,,,,,0.5150879546999931
101,type1_1,40,4,0,0,0,0,0.005,mse,,,,,,,0.19166666666666668,,,,,,,0.5650163849194845
102,type1_1,40,4,0,0,0,0,0.01,mse,,,,,,,0.28958333333333336,,,,,,,0.5457951893409093
103,type1_1,40,4,0,0,0,0,0.015,mse,,,,,,,0.43125,,,,,,,0.5411494160691898
104,type1_1,40,4,0,0,0,0,0.02,mse,,,,,,,0.5895833333333333,,,,,,,0.5272083635131518
105,type1_1,40,4,0,0,0,50,0.0,mse,,,,,,,0.1125,,,,,,,0.5901881923278173
106,type1_1,40,4,0,0,0,50,0.005,mse,,,,,,,0.17916666666666667,,,,,,,0.5809354926149051
107,type1_1,40,4,0,0,0,50,0.01,mse,,,,,,,0.2916666666666667,,,,,,,0.5890355740984281
108,type1_1,40,4,0,0,0,50,0.015,mse,,,,,,,0.4125,,,,,,,0.584393531580766
109,type1_1,40,4,0,0,0,50,0.02,mse,,,,,,,0.5729166666666666,,,,,,,0.5865765273571014
110,type1_1,40,4,0,0,0,100,0.0,mse,,,,,,,0.1125,,,,,,,0.6449554686745008
