,set,p,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2,stfr_time,resit_time,gcm_time,crt_time,cpt_time,rbpt_time,rbpt2_time
82,type1_1,30,2,0,6,0,0.016666666666666666,mse,,,,0.6666666666666666,0.08333333333333333,0.3958333333333333,,,,,0.024378066261609394,0.85670838256677,0.000716810425122579,
83,type1_1,30,2,0,6,0,0.02,mse,,,,0.6875,0.08333333333333333,0.3958333333333333,,,,,0.02569296956062317,0.8594499478737513,0.0007418592770894369,
84,type1_1,30,3,0,0,0,0.0,mse,,,,0.20833333333333334,0.125,0.16666666666666666,,,,,0.02710285782814026,0.8697250435749689,0.0007397979497909546,
85,type1_1,30,3,0,0,0,0.0033333333333333335,mse,,,,0.10416666666666667,0.0625,0.08333333333333333,,,,,0.0242814968029658,0.8576209247112274,0.0007420778274536133,
86,type1_1,30,3,0,0,0,0.006666666666666667,mse,,,,0.125,0.0625,0.0625,,,,,0.025334129730860393,0.8559378782908121,0.0007629493872324625,
87,type1_1,30,3,0,0,0,0.01,mse,,,,0.14583333333333334,0.0625,0.0625,,,,,0.024944186210632324,0.8579970051844915,0.0008987784385681152,
88,type1_1,30,3,0,0,0,0.013333333333333334,mse,,,,0.125,0.08333333333333333,0.0625,,,,,0.024811511238416035,0.8581524938344955,0.0007062256336212158,
89,type1_1,30,3,0,0,0,0.016666666666666666,mse,,,,0.125,0.08333333333333333,0.041666666666666664,,,,,0.024820645650227863,0.8450910548369089,0.0007202029228210449,
90,type1_1,30,3,0,0,0,0.02,mse,,,,0.125,0.08333333333333333,0.041666666666666664,,,,,0.02547420064608256,0.8513568292061487,0.0007356454928716024,
91,type1_1,30,3,0,2,0,0.0,mse,,,,0.22916666666666666,0.125,0.14583333333333334,,,,,0.025582700967788696,0.8571385989586512,0.0007261733214060465,
92,type1_1,30,3,0,2,0,0.0033333333333333335,mse,,,,0.3125,0.0625,0.1875,,,,,0.026254599293073017,0.8693256874879202,0.0007464836041132609,
93,type1_1,30,3,0,2,0,0.006666666666666667,mse,,,,0.3333333333333333,0.0625,0.1875,,,,,0.025619516770044964,0.8704536904891332,0.0007317811250686646,
94,type1_1,30,3,0,2,0,0.01,mse,,,,0.3333333333333333,0.0625,0.20833333333333334,,,,,0.025178005297978718,0.8717941294113795,0.0007187823454538981,
95,type1_1,30,3,0,2,0,0.013333333333333334,mse,,,,0.3541666666666667,0.08333333333333333,0.20833333333333334,,,,,0.024344707528750103,0.8704888125260671,0.0007088879744211832,
96,type1_1,30,3,0,2,0,0.016666666666666666,mse,,,,0.375,0.08333333333333333,0.20833333333333334,,,,,0.026570573449134827,0.8958453238010406,0.000735585888226827,
97,type1_1,30,3,0,2,0,0.02,mse,,,,0.3958333333333333,0.08333333333333333,0.20833333333333334,,,,,0.024490391214688618,0.845352773865064,0.0007171134154001871,
98,type1_1,30,3,0,4,0,0.0,mse,,,,0.2916666666666667,0.125,0.125,,,,,0.023797035217285156,0.8622981856266657,0.000734180212020874,
99,type1_1,30,3,0,4,0,0.0033333333333333335,mse,,,,0.4791666666666667,0.0625,0.22916666666666666,,,,,0.025338908036549885,0.8819996764262518,0.0007416903972625732,
100,type1_1,30,3,0,4,0,0.006666666666666667,mse,,,,0.4791666666666667,0.0625,0.22916666666666666,,,,,0.02475417157014211,0.8759563813606898,0.0007254878679911295,
101,type1_1,30,3,0,4,0,0.01,mse,,,,0.5208333333333334,0.0625,0.22916666666666666,,,,,0.025114546219507854,0.8619894484678904,0.0007372895876566569,
102,type1_1,30,3,0,4,0,0.013333333333333334,mse,,,,0.5208333333333334,0.08333333333333333,0.2708333333333333,,,,,0.025275280078252155,0.8718122889598211,0.0007377465565999349,
103,type1_1,30,3,0,4,0,0.016666666666666666,mse,,,,0.5625,0.08333333333333333,0.2708333333333333,,,,,0.02478051682313283,0.8729349424441656,0.0007532089948654175,
104,type1_1,30,3,0,4,0,0.02,mse,,,,0.5833333333333334,0.08333333333333333,0.2916666666666667,,,,,0.024079476793607075,0.8508528769016266,0.0007545997699101766,
105,type1_1,30,3,0,6,0,0.0,mse,,,,0.3541666666666667,0.125,0.125,,,,,0.02590327461560567,0.8546847403049469,0.0007315476735432943,
106,type1_1,30,3,0,6,0,0.0033333333333333335,mse,,,,0.5208333333333334,0.0625,0.22916666666666666,,,,,0.0250856876373291,0.8631706039110819,0.0007393856843312582,
107,type1_1,30,3,0,6,0,0.006666666666666667,mse,,,,0.5625,0.0625,0.25,,,,,0.0253077099720637,0.8676352749268214,0.000802353024482727,
108,type1_1,30,3,0,6,0,0.01,mse,,,,0.5625,0.0625,0.2708333333333333,,,,,0.02562803030014038,0.8604109436273575,0.0007430464029312134,
109,type1_1,30,3,0,6,0,0.013333333333333334,mse,,,,0.6458333333333334,0.08333333333333333,0.3333333333333333,,,,,0.025365233421325684,0.8691579600175222,0.0007202426592508951,
110,type1_1,30,3,0,6,0,0.016666666666666666,mse,,,,0.6875,0.08333333333333333,0.3958333333333333,,,,,0.024764026204744976,0.8695061206817627,0.0007475763559341431,
111,type1_1,30,3,0,6,0,0.02,mse,,,,0.6875,0.08333333333333333,0.3958333333333333,,,,,0.025566006700197857,0.8697955658038458,0.0007332464059193929,
112,type1_1,30,4,0,0,0,0.0,mse,,,,0.08333333333333333,0.08333333333333333,0.10416666666666667,,,,,0.025501007835070293,0.8700163960456848,0.0007386108239491781,
113,type1_1,30,4,0,0,0,0.0033333333333333335,mse,,,,0.125,0.10416666666666667,0.10416666666666667,,,,,0.02499338984489441,0.8642106801271439,0.0007474571466445923,
114,type1_1,30,4,0,0,0,0.006666666666666667,mse,,,,0.125,0.08333333333333333,0.0625,,,,,0.025719135999679565,0.871727724870046,0.0007914801438649496,
115,type1_1,30,4,0,0,0,0.01,mse,,,,0.14583333333333334,0.10416666666666667,0.0625,,,,,0.02448113262653351,0.865947758158048,0.0007307877143224081,
116,type1_1,30,4,0,0,0,0.013333333333333334,mse,,,,0.14583333333333334,0.10416666666666667,0.0625,,,,,0.025227318207422893,0.867354229092598,0.0007475564877192179,
117,type1_1,30,4,0,0,0,0.016666666666666666,mse,,,,0.14583333333333334,0.10416666666666667,0.041666666666666664,,,,,0.02627777059872945,0.8691350569327673,0.0007236401240030924,
118,type1_1,30,4,0,0,0,0.02,mse,,,,0.14583333333333334,0.10416666666666667,0.041666666666666664,,,,,0.024802019198735554,0.8682572295268377,0.0007555087407430013,
119,type1_1,30,4,0,2,0,0.0,mse,,,,0.3333333333333333,0.08333333333333333,0.14583333333333334,,,,,0.025255675117174785,0.8757408708333969,0.0007039705912272135,
120,type1_1,30,4,0,2,0,0.0033333333333333335,mse,,,,0.3958333333333333,0.10416666666666667,0.20833333333333334,,,,,0.025275821487108868,0.8680925418933233,0.0007417798042297363,
121,type1_1,30,4,0,2,0,0.006666666666666667,mse,,,,0.3958333333333333,0.08333333333333333,0.20833333333333334,,,,,0.024713059266408283,0.8621128648519516,0.000726550817489624,
122,type1_1,30,4,0,2,0,0.01,mse,,,,0.3958333333333333,0.10416666666666667,0.20833333333333334,,,,,0.025148173173268635,0.8623958627382914,0.0007303009430567423,
123,type1_1,30,4,0,2,0,0.013333333333333334,mse,,,,0.4166666666666667,0.10416666666666667,0.20833333333333334,,,,,0.02463690936565399,0.8664749960104624,0.0008066693941752116,
124,type1_1,30,4,0,2,0,0.016666666666666666,mse,,,,0.4166666666666667,0.10416666666666667,0.20833333333333334,,,,,0.025400131940841675,0.8852081100145975,0.0008544524510701498,
125,type1_1,30,4,0,2,0,0.02,mse,,,,0.4166666666666667,0.10416666666666667,0.20833333333333334,,,,,0.02538841962814331,0.8718867699305216,0.00076464315255483,
126,type1_1,30,4,0,4,0,0.0,mse,,,,0.375,0.08333333333333333,0.1875,,,,,0.025351146856943767,0.8623038530349731,0.0007897714773813883,
127,type1_1,30,4,0,4,0,0.0033333333333333335,mse,,,,0.4791666666666667,0.10416666666666667,0.22916666666666666,,,,,0.025308196743329365,0.8424604833126068,0.0007370859384536743,
128,type1_1,30,4,0,4,0,0.006666666666666667,mse,,,,0.5,0.08333333333333333,0.22916666666666666,,,,,0.024975215395291645,0.8763793806234995,0.000736097494761149,
129,type1_1,30,4,0,4,0,0.01,mse,,,,0.5,0.10416666666666667,0.25,,,,,0.025085096557935078,0.8791564007600149,0.0009581545988718668,
130,type1_1,30,4,0,4,0,0.013333333333333334,mse,,,,0.5208333333333334,0.10416666666666667,0.2708333333333333,,,,,0.02561725676059723,0.8611991008122762,0.0010327597459157307,
131,type1_1,30,4,0,4,0,0.016666666666666666,mse,,,,0.5416666666666666,0.10416666666666667,0.2708333333333333,,,,,0.024914721647898357,0.8568705022335052,0.0007934321959813436,
132,type1_1,30,4,0,4,0,0.02,mse,,,,0.5833333333333334,0.10416666666666667,0.3125,,,,,0.025003746151924133,0.8452170590559641,0.0008559077978134155,
133,type1_1,30,4,0,6,0,0.0,mse,,,,0.4375,0.08333333333333333,0.1875,,,,,0.023779168725013733,0.8542914092540741,0.0007349501053492228,
134,type1_1,30,4,0,6,0,0.0033333333333333335,mse,,,,0.5208333333333334,0.10416666666666667,0.22916666666666666,,,,,0.025305892030398052,0.8652527978022894,0.0007356504599253336,
135,type1_1,30,4,0,6,0,0.006666666666666667,mse,,,,0.5625,0.08333333333333333,0.25,,,,,0.025318831205368042,0.8539138187964758,0.0007338821887969971,
136,type1_1,30,4,0,6,0,0.01,mse,,,,0.5833333333333334,0.10416666666666667,0.2708333333333333,,,,,0.024651363492012024,0.8531159361203512,0.0007160703341166178,
137,type1_1,30,4,0,6,0,0.013333333333333334,mse,,,,0.6041666666666666,0.10416666666666667,0.3541666666666667,,,,,0.025179624557495117,0.859141876300176,0.000724653402964274,
138,type1_1,30,4,0,6,0,0.016666666666666666,mse,,,,0.6666666666666666,0.10416666666666667,0.375,,,,,0.02673684060573578,0.8710056891043981,0.0007481823364893595,
139,type1_1,30,4,0,6,0,0.02,mse,,,,0.6875,0.10416666666666667,0.3958333333333333,,,,,0.025448327263196308,0.8822104086478552,0.0007799863815307617,
140,type1_1,30,5,0,0,0,0.0,mse,,,,0.08333333333333333,0.10416666666666667,0.14583333333333334,,,,,0.024928932388623554,0.8700160135825475,0.0008334318796793619,
141,type1_1,30,5,0,0,0,0.0033333333333333335,mse,,,,0.10416666666666667,0.08333333333333333,0.08333333333333333,,,,,0.02560645838578542,0.9044758230447769,0.0007614741722742716,
142,type1_1,30,5,0,0,0,0.006666666666666667,mse,,,,0.10416666666666667,0.08333333333333333,0.08333333333333333,,,,,0.025938495993614197,0.8793817311525345,0.0007341206073760986,
143,type1_1,30,5,0,0,0,0.01,mse,,,,0.10416666666666667,0.0625,0.0625,,,,,0.025835861762364704,0.8791150401035944,0.0007714778184890747,
144,type1_1,30,5,0,0,0,0.013333333333333334,mse,,,,0.10416666666666667,0.0625,0.0625,,,,,0.025114317735036213,0.8752450893322626,0.0008288721243540446,
145,type1_1,30,5,0,0,0,0.016666666666666666,mse,,,,0.125,0.0625,0.041666666666666664,,,,,0.025136475761731465,0.8817583521207174,0.0007384767134984335,
146,type1_1,30,5,0,0,0,0.02,mse,,,,0.125,0.0625,0.041666666666666664,,,,,0.02487694223721822,0.8791949252287546,0.0007437715927759806,
147,type1_1,30,5,0,2,0,0.0,mse,,,,0.3333333333333333,0.10416666666666667,0.20833333333333334,,,,,0.025712981820106506,0.8752483775218328,0.0008808324734369913,
148,type1_1,30,5,0,2,0,0.0033333333333333335,mse,,,,0.375,0.08333333333333333,0.1875,,,,,0.025581007202466328,0.8825852970282236,0.0007561345895131429,
149,type1_1,30,5,0,2,0,0.006666666666666667,mse,,,,0.375,0.08333333333333333,0.20833333333333334,,,,,0.024857436617215473,0.8690577944119772,0.0007507503032684326,
150,type1_1,30,5,0,2,0,0.01,mse,,,,0.375,0.0625,0.20833333333333334,,,,,0.025369187196095783,0.8764390299717585,0.0007506807645161947,
151,type1_1,30,5,0,2,0,0.013333333333333334,mse,,,,0.375,0.0625,0.20833333333333334,,,,,0.025220657388369244,0.8759644875923792,0.0007342000802357992,
152,type1_1,30,5,0,2,0,0.016666666666666666,mse,,,,0.375,0.0625,0.20833333333333334,,,,,0.0242673655351003,0.865203524629275,0.0007531195878982544,
153,type1_1,30,5,0,2,0,0.02,mse,,,,0.3958333333333333,0.0625,0.20833333333333334,,,,,0.02835937837759654,0.8719078451395035,0.0008780260880788168,
154,type1_1,30,5,0,4,0,0.0,mse,,,,0.4166666666666667,0.10416666666666667,0.2708333333333333,,,,,0.026357342799504597,0.8734746525684992,0.0007304847240447998,
155,type1_1,30,5,0,4,0,0.0033333333333333335,mse,,,,0.5208333333333334,0.08333333333333333,0.22916666666666666,,,,,0.025076011816660564,0.8738424281279246,0.0008219430843989054,
156,type1_1,30,5,0,4,0,0.006666666666666667,mse,,,,0.5208333333333334,0.08333333333333333,0.22916666666666666,,,,,0.024948025743166607,0.8762298971414566,0.0007707178592681885,
157,type1_1,30,5,0,4,0,0.01,mse,,,,0.5208333333333334,0.0625,0.25,,,,,0.025392780701319378,0.8797108133633932,0.000726516048113505,
158,type1_1,30,5,0,4,0,0.013333333333333334,mse,,,,0.5625,0.0625,0.2708333333333333,,,,,0.025171404083569843,0.8555883020162582,0.0007838308811187744,
159,type1_1,30,5,0,4,0,0.016666666666666666,mse,,,,0.6041666666666666,0.0625,0.2916666666666667,,,,,0.02527378996213277,0.8642887274424235,0.0009601414203643799,
160,type1_1,30,5,0,4,0,0.02,mse,,,,0.6041666666666666,0.0625,0.3333333333333333,,,,,0.02725459635257721,168.4519538382689,0.0009872615337371826,
161,type1_1,30,5,0,6,0,0.0,mse,,,,0.4791666666666667,0.10416666666666667,0.25,,,,,0.026656582951545715,0.8632164895534515,0.0008477667967478434,
