,set,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2
0,type1_1,0,0.0,0.0,0,0.0,mse,0.025,0.05,0.025,0.145,0.185,0.1,0.065
1,type1_1,0,0.0,0.0,0,0.006666666666666667,mse,0.25,0.37,0.33,0.04,0.08,0.08,0.0
2,type1_1,0,0.0,0.0,0,0.013333333333333334,mse,0.33,0.69,0.775,0.04,0.08,0.08,0.0
3,type1_1,0,0.0,0.0,0,0.02,mse,0.675,0.935,0.895,0.04,0.08,0.08,0.0
4,type1_1,0,0.0,0.0,0,0.02666666666666667,mse,0.855,0.935,0.92,0.04,0.08,0.04,0.0
5,type1_1,0,0.0,0.0,0,0.03333333333333333,mse,0.935,1.0,0.96,0.04,0.08,0.04,0.0
6,type1_1,0,0.0,0.0,0,0.04,mse,0.96,1.0,0.96,0.04,0.08,0.04,0.0
7,type1_2,0,0.0,0.0,0,0.0,mse,,,,0.04,0.1,0.0,0.08
8,type1_2,0,0.0,1.0,0,0.0,mse,,,,0.1,0.1,0.0,0.08
9,type1_2,0,0.0,2.0,0,0.0,mse,,,,0.225,0.1,0.02,0.08
10,type1_2,0,0.0,3.0,0,0.0,mse,,,,0.305,0.1,0.06,0.08
11,type1_2,0,0.0,4.0,0,0.0,mse,,,,0.345,0.1,0.06,0.08
12,type1_2,0,0.0,5.0,0,0.0,mse,,,,0.41,0.1,0.06,0.08
13,type1_2,0,0.0,6.0,0,0.0,mse,,,,0.41,0.1,0.06,0.08
14,power,0,0.0,0.0,0,0.0,mse,,,,,0.12,0.04,0.06
15,power,0,0.08333333333333333,0.0,0,0.0,mse,,,,,0.28,0.1,0.065
16,power,0,0.16666666666666666,0.0,0,0.0,mse,,,,,0.445,0.345,0.265
17,power,0,0.25,0.0,0,0.0,mse,,,,,0.645,0.405,0.555
18,power,0,0.3333333333333333,0.0,0,0.0,mse,,,,,0.87,0.63,0.84
19,power,0,0.41666666666666663,0.0,0,0.0,mse,,,,,0.935,0.79,0.96
20,power,0,0.5,0.0,0,0.0,mse,,,,,0.96,0.83,0.96
21,type1_1,0,0.0,0.0,0,0.0,mae,0.025,0.05,0.025,0.145,0.185,0.185,0.105
22,type1_1,0,0.0,0.0,0,0.006666666666666667,mae,0.05,0.37,0.33,0.04,0.08,0.08,0.04
23,type1_1,0,0.0,0.0,0,0.013333333333333334,mae,0.37,0.69,0.775,0.04,0.08,0.08,0.04
24,type1_1,0,0.0,0.0,0,0.02,mae,0.615,0.935,0.895,0.04,0.08,0.08,0.04
25,type1_1,0,0.0,0.0,0,0.02666666666666667,mae,0.835,0.935,0.92,0.04,0.08,0.04,0.04
26,type1_1,0,0.0,0.0,0,0.03333333333333333,mae,0.935,1.0,0.96,0.04,0.08,0.04,0.04
27,type1_1,0,0.0,0.0,0,0.04,mae,0.975,1.0,0.96,0.04,0.08,0.04,0.0
28,type1_2,0,0.0,0.0,0,0.0,mae,,,,0.04,0.1,0.04,0.08
29,type1_2,0,0.0,1.0,0,0.0,mae,,,,0.1,0.1,0.06,0.08
30,type1_2,0,0.0,2.0,0,0.0,mae,,,,0.225,0.1,0.02,0.08
31,type1_2,0,0.0,3.0,0,0.0,mae,,,,0.305,0.1,0.06,0.08
32,type1_2,0,0.0,4.0,0,0.0,mae,,,,0.345,0.1,0.06,0.08
33,type1_2,0,0.0,5.0,0,0.0,mae,,,,0.41,0.1,0.06,0.08
34,type1_2,0,0.0,6.0,0,0.0,mae,,,,0.41,0.1,0.06,0.08
35,power,0,0.0,0.0,0,0.0,mae,,,,,0.12,0.08,0.06
36,power,0,0.08333333333333333,0.0,0,0.0,mae,,,,,0.28,0.14,0.04
37,power,0,0.16666666666666666,0.0,0,0.0,mae,,,,,0.445,0.26,0.24
38,power,0,0.25,0.0,0,0.0,mae,,,,,0.645,0.4,0.465
39,power,0,0.3333333333333333,0.0,0,0.0,mae,,,,,0.87,0.54,0.77
40,power,0,0.41666666666666663,0.0,0,0.0,mae,,,,,0.935,0.685,0.9
41,power,0,0.5,0.0,0,0.0,mae,,,,,0.96,0.765,0.96
42,type1_1,1,0.0,0.0,0,0.0,mse,0.0,0.08,0.04,0.065,0.08,0.12,0.065
43,type1_1,1,0.0,0.0,0,0.006666666666666667,mse,0.16,0.14,0.16,0.08,0.08,0.08,0.0
44,type1_1,1,0.0,0.0,0,0.013333333333333334,mse,0.285,0.44,0.545,0.08,0.08,0.08,0.0
45,type1_1,1,0.0,0.0,0,0.02,mse,0.465,0.72,0.71,0.08,0.08,0.08,0.0
46,type1_1,1,0.0,0.0,0,0.02666666666666667,mse,0.585,0.895,0.88,0.08,0.08,0.08,0.0
47,type1_1,1,0.0,0.0,0,0.03333333333333333,mse,0.775,1.0,0.92,0.08,0.08,0.08,0.0
48,type1_1,1,0.0,0.0,0,0.04,mse,0.84,1.0,0.92,0.08,0.08,0.08,0.0
49,type1_2,1,0.0,0.0,0,0.0,mse,,,,0.04,0.04,0.04,0.04
50,type1_2,1,0.0,1.0,0,0.0,mse,,,,0.2,0.04,0.04,0.04
51,type1_2,1,0.0,2.0,0,0.0,mse,,,,0.22,0.04,0.06,0.04
52,type1_2,1,0.0,3.0,0,0.0,mse,,,,0.26,0.04,0.06,0.04
53,type1_2,1,0.0,4.0,0,0.0,mse,,,,0.26,0.04,0.06,0.04
54,type1_2,1,0.0,5.0,0,0.0,mse,,,,0.3,0.04,0.06,0.04
55,type1_2,1,0.0,6.0,0,0.0,mse,,,,0.34,0.04,0.06,0.04
56,power,1,0.0,0.0,0,0.0,mse,,,,,0.04,0.0,0.02
57,power,1,0.08333333333333333,0.0,0,0.0,mse,,,,,0.14,0.08,0.04
58,power,1,0.16666666666666666,0.0,0,0.0,mse,,,,,0.42,0.305,0.305
59,power,1,0.25,0.0,0,0.0,mse,,,,,0.79,0.405,0.49
60,power,1,0.3333333333333333,0.0,0,0.0,mse,,,,,0.895,0.645,0.84
61,power,1,0.41666666666666663,0.0,0,0.0,mse,,,,,0.92,0.75,0.96
62,power,1,0.5,0.0,0,0.0,mse,,,,,1.0,0.83,0.96
63,type1_1,1,0.0,0.0,0,0.0,mae,0.04,0.08,0.04,0.065,0.08,0.105,0.065
64,type1_1,1,0.0,0.0,0,0.006666666666666667,mae,0.12,0.14,0.16,0.08,0.08,0.08,0.0
65,type1_1,1,0.0,0.0,0,0.013333333333333334,mae,0.24,0.44,0.545,0.08,0.08,0.08,0.0
