,set,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2
0,type1_1,0,0.0,0.0,1,0.0,mse,0.0,0.0,0.0,0.01,0.08,0.01,0.0
1,type1_1,0,0.0,0.0,1,0.006666666666666667,mse,0.09,0.41,0.5,0.01,0.09,0.01,0.0
2,type1_1,0,0.0,0.0,1,0.013333333333333334,mse,0.5,0.83,0.75,0.01,0.09,0.01,0.0
3,type1_1,0,0.0,0.0,1,0.02,mse,0.83,1.0,0.99,0.01,0.09,0.01,0.0
4,type1_1,0,0.0,0.0,1,0.02666666666666667,mse,0.99,1.0,0.99,0.01,0.09,0.01,0.0
5,type1_1,0,0.0,0.0,1,0.03333333333333333,mse,0.99,1.0,0.99,0.01,0.09,0.01,0.0
6,type1_1,0,0.0,0.0,1,0.04,mse,0.99,1.0,0.99,0.01,0.09,0.01,0.0
7,type1_2,0,0.0,0.0,1,0.0,mse,,,,0.08,0.08,0.0,0.09
8,type1_2,0,0.0,1.0,1,0.0,mse,,,,0.25,0.08,0.17,0.09
9,type1_2,0,0.0,2.0,1,0.0,mse,,,,0.26,0.08,0.16,0.09
10,type1_2,0,0.0,3.0,1,0.0,mse,,,,0.34,0.08,0.16,0.09
11,type1_2,0,0.0,4.0,1,0.0,mse,,,,0.42,0.08,0.16,0.09
12,type1_2,0,0.0,5.0,1,0.0,mse,,,,0.42,0.08,0.16,0.09
13,type1_2,0,0.0,6.0,1,0.0,mse,,,,0.51,0.08,0.16,0.09
14,power,0,0.0,0.0,1,0.0,mse,,,,,0.25,0.01,0.09
15,power,0,0.08333333333333333,0.0,1,0.0,mse,,,,,0.49,0.25,0.0
16,power,0,0.16666666666666666,0.0,1,0.0,mse,,,,,0.66,0.41,0.41
17,power,0,0.25,0.0,1,0.0,mse,,,,,0.66,0.66,0.91
18,power,0,0.3333333333333333,0.0,1,0.0,mse,,,,,0.91,0.74,0.99
19,power,0,0.41666666666666663,0.0,1,0.0,mse,,,,,0.99,0.75,0.99
20,power,0,0.5,0.0,1,0.0,mse,,,,,0.99,0.99,0.99
21,type1_1,0,0.0,0.0,1,0.0,mae,0.0,0.0,0.0,0.01,0.08,0.01,0.08
22,type1_1,0,0.0,0.0,1,0.006666666666666667,mae,0.16,0.41,0.5,0.01,0.09,0.09,0.0
23,type1_1,0,0.0,0.0,1,0.013333333333333334,mae,0.5,0.83,0.75,0.01,0.09,0.09,0.0
24,type1_1,0,0.0,0.0,1,0.02,mae,0.82,1.0,0.99,0.01,0.09,0.01,0.0
25,type1_1,0,0.0,0.0,1,0.02666666666666667,mae,0.99,1.0,0.99,0.01,0.09,0.01,0.0
26,type1_1,0,0.0,0.0,1,0.03333333333333333,mae,1.0,1.0,0.99,0.01,0.09,0.01,0.0
27,type1_1,0,0.0,0.0,1,0.04,mae,1.0,1.0,0.99,0.01,0.09,0.01,0.0
28,type1_2,0,0.0,0.0,1,0.0,mae,,,,0.08,0.08,0.16,0.16
29,type1_2,0,0.0,1.0,1,0.0,mae,,,,0.25,0.08,0.17,0.16
30,type1_2,0,0.0,2.0,1,0.0,mae,,,,0.26,0.08,0.17,0.16
31,type1_2,0,0.0,3.0,1,0.0,mae,,,,0.34,0.08,0.17,0.16
32,type1_2,0,0.0,4.0,1,0.0,mae,,,,0.42,0.08,0.17,0.16
33,type1_2,0,0.0,5.0,1,0.0,mae,,,,0.42,0.08,0.17,0.16
34,type1_2,0,0.0,6.0,1,0.0,mae,,,,0.51,0.08,0.17,0.16
35,power,0,0.0,0.0,1,0.0,mae,,,,,0.25,0.01,0.17
36,power,0,0.08333333333333333,0.0,1,0.0,mae,,,,,0.49,0.25,0.0
37,power,0,0.16666666666666666,0.0,1,0.0,mae,,,,,0.66,0.49,0.34
38,power,0,0.25,0.0,1,0.0,mae,,,,,0.66,0.66,0.74
39,power,0,0.3333333333333333,0.0,1,0.0,mae,,,,,0.91,0.66,0.91
40,power,0,0.41666666666666663,0.0,1,0.0,mae,,,,,0.99,0.66,0.99
41,power,0,0.5,0.0,1,0.0,mae,,,,,0.99,0.74,0.99
42,type1_1,0,0.0,0.0,3,0.0,mse,0.08,0.08,0.08,0.09,0.0,0.0,0.0
43,type1_1,0,0.0,0.0,3,0.006666666666666667,mse,0.25,0.57,0.5,0.09,0.0,0.01,0.0
44,type1_1,0,0.0,0.0,3,0.013333333333333334,mse,0.59,1.0,0.99,0.09,0.0,0.01,0.0
45,type1_1,0,0.0,0.0,3,0.02,mse,0.99,1.0,0.99,0.09,0.0,0.01,0.0
46,type1_1,0,0.0,0.0,3,0.02666666666666667,mse,0.99,1.0,0.99,0.09,0.0,0.01,0.0
47,type1_1,0,0.0,0.0,3,0.03333333333333333,mse,0.99,1.0,0.99,0.08,0.0,0.01,0.0
48,type1_1,0,0.0,0.0,3,0.04,mse,0.99,1.0,0.99,0.08,0.0,0.01,0.0
49,type1_2,0,0.0,0.0,3,0.0,mse,,,,0.0,0.0,0.0,0.08
50,type1_2,0,0.0,1.0,3,0.0,mse,,,,0.41,0.0,0.16,0.08
51,type1_2,0,0.0,2.0,3,0.0,mse,,,,0.41,0.0,0.16,0.08
52,type1_2,0,0.0,3.0,3,0.0,mse,,,,0.49,0.0,0.16,0.08
53,type1_2,0,0.0,4.0,3,0.0,mse,,,,0.58,0.0,0.16,0.08
